Symbol,Name,Sector,Industry,,,,,,,$
AA,Alcoa Corporation ,Basic Industries,Metal Fabrications,,,,,,,
AAC,Ares Acquisition Corporation Class A Ordinary Shares,Finance,Business Services,,,,,,,
AACG,ATA Creativity Global American Depositary Shares,Miscellaneous,Service to the Health Industry,,,,,,,
AACI,Armada Acquisition Corp I, Acquisition, Acquisition,,,,,,,
AACIU,Armada Acquisition Corp I Unit, Acquisition, Acquisition,,,,,,,
AADI,Aadi Bioscience,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
AAIC,Arlington Asset Investment Corp Class A (new),Consumer Services,Real Estate Investment Trusts,,,,,,,
AAIN,Arlington Asset Investment Corp 6000% Senior Notes Due 2026, Acquisition, Acquisition,,,,,,,
AAL,American Airlines Group,Transportation,Air Freight/Delivery Services,,,,,,,
AAME,Atlantic American Corporation,Finance,Life Insurance,,,,,,,
AAN,Aarons Holdings Company ,Miscellaneous,Diversified Commercial Services,,,,,,,
AAOI,Applied Optoelectronics,Technology,Semiconductors,,,,,,,
AAON,AAON,Capital Goods,Industrial Machinery/Components,,,,,,,
AAP,Advance Auto Parts,Consumer Services,Other Specialty Stores,,,,,,,
AAPL,Apple,Technology,Computer Manufacturing,,,,,,,
AAQC,Accelerate Acquisition Corp Class A, Acquisition, Acquisition,,,,,,,
AAT,American Assets Trust,Consumer Services,Real Estate Investment Trusts,,,,,,,
AATC,Autoscope Technologies Corporation,Capital Goods,Industrial Machinery/Components,,,,,,,
AAU,Almaden Minerals Ltd Common Shares, Acquisition, Acquisition,,,,,,,
AAWW,Atlas Air Worldwide Holdings NEW,Transportation,Transportation Services,,,,,,,
AB,AllianceBernstein Holding LP  Units,Finance,Investment Managers,,,,,,,
ABB,ABB Ltd,Consumer Durables,Electrical Products,,,,,,,
ABBV,AbbVie,Health Care,Other Pharmaceuticals,,,,,,,
ABC,AmerisourceBergen Corporation,Health Care,Other Pharmaceuticals,,,,,,,
ABCB,Ameris Bancorp,Finance,Major Banks,,,,,,,
ABCL,AbCellera Biologics Common Shares, Acquisition, Acquisition,,,,,,,
ABCM,Abcam plc American Depositary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,,,
